Sl. No.,topic_number,lesson_code,lesson_title,conceptual_focus,lesson_description,skill_emphasis,assessment_context,difficulty_level,learning_outcome,content_type,title,content
229,SL 3.7,SL 3.7a,Circular Functions,Understanding circular functions and their relationship to trigonometric functions.,"Students learn about circular functions, understand their relationship to trigonometric functions, and work with their properties.","Understand, relate, work",Paper 1 (circular functions),5 / 10,Students should be able to understand circular functions and their relationship to trigonometric functions.,formulas,Circular Function Definition,"Circular functions = trig functions viewed as functions of arc length on unit circle Equivalently: functions of real numbers (not just angles) $$\sin: \mathbb{R} \to [-1, 1]$$ $$\cos: \mathbb{R} \to [-1, 1]$$ Same formulas, broader interpretation Period $2\pi$ = once around circle"
231,SL 3.7,SL 3.7b,Graphs of Circular Functions,Understanding the graphs of circular functions.,"Students learn to graph circular functions, understand their periodic nature, and analyze their key features and behavior.","Graph, understand, analyze",Paper 1 (circular function graphs),5 / 10,Students should be able to graph circular functions and understand their properties.,formulas,Circular Function Graph Properties,"Same as trig function graphs: $y = \sin x$: starts $(0,0)$, wave pattern $y = \cos x$: starts $(0,1)$, wave pattern Period $2\pi$, amplitude 1 (unless transformed) Continuous, smooth, bounded All transformations apply: $y = a\sin(b(x-c)) + d$"
233,SL 3.7,SL 3.7c,Applications of Circular Functions,Applying circular functions to solve problems and model situations.,"Students learn to apply circular functions to solve problems, model periodic phenomena, and understand their real-world applications.","Apply, model, understand",Paper 1 (circular function applications),5 / 10,Students should be able to apply circular functions to solve problems and model real-world situations.,formulas,Periodic Model Template,"General sinusoidal model: $$y = a\sin(b(t - c)) + d$$ Or: $$y = a\cos(b(t - c)) + d$$ Identify from context: $a$ = half range, $d$ = midline, period $T = \frac{2\pi}{b}$, $c$ = shift Example: Daily temperature: max 30°, min 10°, peaks at 2pm"
235,SL 3.8,SL 3.8a,Inverse Trigonometric Functions,Understanding inverse trigonometric functions and their properties.,"Students learn about arcsin, arccos, and arctan functions, understand their domains and ranges, and work with their properties.","Understand, work, apply",Paper 1 (inverse trigonometric functions),6 / 10,Students should be able to understand and work with inverse trigonometric functions.,formulas,Inverse Trig Functions,"$$\arcsin x = \sin^{-1} x: [-1,1] \to [-\frac{\pi}{2}, \frac{\pi}{2}]$$ $$\arccos x = \cos^{-1} x: [-1,1] \to [0, \pi]$$ $$\arctan x = \tan^{-1} x: \mathbb{R} \to (-\frac{\pi}{2}, \frac{\pi}{2})$$ Properties: $\sin(\sin^{-1} x) = x$, $\sin^{-1}(\sin x) = x$ (within range)"
237,SL 3.8,SL 3.8b,Graphs of Inverse Trigonometric Functions,Understanding the graphs of inverse trigonometric functions.,"Students learn to graph inverse trigonometric functions, understand their restricted domains, and analyze their key features.","Graph, understand, analyze",Paper 1 (inverse trig graphs),6 / 10,Students should be able to graph inverse trigonometric functions and understand their properties.,formulas,Inverse Trig Graph Properties,"$y = \sin^{-1} x$: Domain $[-1, 1]$, Range $[-\frac{\pi}{2}, \frac{\pi}{2}]$ Increasing, passes through origin $y = \cos^{-1} x$: Domain $[-1, 1]$, Range $[0, \pi]$ Decreasing, passes through $(1, 0)$ $y = \tan^{-1} x$: Domain all reals, Range $(-\frac{\pi}{2}, \frac{\pi}{2})$ Horizontal asymptotes at $\pm\frac{\pi}{2}$"
239,SL 3.8,SL 3.8c,Applications of Inverse Trigonometric Functions,Applying inverse trigonometric functions to solve problems.,"Students learn to apply inverse trigonometric functions to solve problems, understand their practical applications, and work with related calculations.","Apply, solve, understand",Paper 1 (inverse trig applications),6 / 10,Students should be able to apply inverse trigonometric functions to solve problems.,formulas,Solving with Inverse Trig,To solve $\sin\theta = k$: $$\theta = \sin^{-1}(k)$$ (principal value) General solution: $\theta = \sin^{-1}(k) + 2n\pi$ or $\theta = \pi - \sin^{-1}(k) + 2n\pi$ Example: $\sin\theta = 0.5$ $\theta = \sin^{-1}(0.5) = \frac{\pi}{6}$ or $\theta = \pi - \frac{\pi}{6} = \frac{5\pi}{6}$ (plus $2n\pi$)
241,AHL 3.9,AHL 3.9a,Reciprocal Trigonometric Functions,Understanding reciprocal trigonometric functions and their properties.,"Students learn about cosecant, secant, and cotangent functions, understand their relationships to sine, cosine, and tangent, and work with their properties.","Understand, relate, work",Paper 1 (reciprocal trig functions),6 / 10,Students should be able to understand and work with reciprocal trigonometric functions.,formulas,Reciprocal Trig Functions,$$\csc\theta = \frac{1}{\sin\theta}$$ (cosecant) $$\sec\theta = \frac{1}{\cos\theta}$$ (secant) $$\cot\theta = \frac{1}{\tan\theta} = \frac{\cos\theta}{\sin\theta}$$ (cotangent) Pythagorean identities: $$1 + \cot^2\theta = \csc^2\theta$$ $$1 + \tan^2\theta = \sec^2\theta$$
243,AHL 3.9,AHL 3.9b,Graphs of Reciprocal Trigonometric Functions,Understanding the graphs of reciprocal trigonometric functions.,"Students learn to graph reciprocal trigonometric functions, understand their asymptotes and behavior, and analyze their key features.","Graph, understand, analyze",Paper 1 (reciprocal trig graphs),6 / 10,Students should be able to graph reciprocal trigonometric functions and understand their properties.,formulas,Reciprocal Trig Graphs,"$y = \csc x$: Range $(-\infty, -1] \cup [1, \infty)$ Asymptotes where $\sin x = 0$ $y = \sec x$: Range $(-\infty, -1] \cup [1, \infty)$ Asymptotes where $\cos x = 0$ $y = \cot x$: Range all reals, Period $\pi$ Asymptotes where $\sin x = 0$"
245,AHL 3.9,AHL 3.9c,Advanced Inverse Trigonometric Functions,Understanding advanced properties of inverse trigonometric functions.,"Students learn about advanced properties of inverse trigonometric functions, understand their relationships, and work with complex problems.","Understand, relate, work",Paper 1 (advanced inverse trig),7 / 10,Students should be able to understand advanced properties of inverse trigonometric functions.,formulas,Advanced Inverse Identities,"$$\sin^{-1}x + \cos^{-1}x = \frac{\pi}{2}$$ $$\tan^{-1}x + \tan^{-1}\left(\frac{1}{x}\right) = \frac{\pi}{2}, \quad x > 0$$ $$\sin^{-1}(-x) = -\sin^{-1}(x)$$ $$\cos^{-1}(-x) = \pi - \cos^{-1}(x)$$ $$\tan^{-1}(-x) = -\tan^{-1}(x)$$"
247,AHL 3.10,AHL 3.10a,Compound Angle Formulae,Understanding compound angle formulae in trigonometry.,"Students learn about sin(A±B), cos(A±B), and tan(A±B) formulae, understand their derivations, and apply them to solve problems.","Learn, understand, apply",Paper 1 (compound angle formulae),7 / 10,Students should be able to understand and apply compound angle formulae.,formulas,Compound Angle Formulas,"$$\sin(A \pm B) = \sin A \cos B \pm \cos A \sin B$$ $$\cos(A \pm B) = \cos A \cos B \mp \sin A \sin B$$ $$\tan(A \pm B) = \frac{\tan A \pm \tan B}{1 \mp \tan A \tan B}$$ Note: signs! $\sin$ same, $\cos$ opposite Example: $\sin 75° = \sin(45° + 30°) = \frac{\sqrt{6} + \sqrt{2}}{4}$"
249,AHL 3.10,AHL 3.10b,Double Angle Formulae,Understanding double angle formulae in trigonometry.,"Students learn about sin(2A), cos(2A), and tan(2A) formulae, understand their derivations, and apply them to solve problems.","Learn, understand, apply",Paper 1 (double angle formulae),7 / 10,Students should be able to understand and apply double angle formulae.,formulas,Double Angle Formulas,"$$\sin(2A) = 2\sin A \cos A$$ $$\cos(2A) = \cos^2 A - \sin^2 A = 2\cos^2 A - 1 = 1 - 2\sin^2 A$$ $$\tan(2A) = \frac{2\tan A}{1 - \tan^2 A}$$ Half-angle (rearranged): $$\sin^2 A = \frac{1 - \cos(2A)}{2}$$, $$\cos^2 A = \frac{1 + \cos(2A)}{2}$$"
251,AHL 3.10,AHL 3.10c,Applications of Compound and Double Angle Formulae,Applying compound and double angle formulae to solve problems.,Students learn to apply compound and double angle formulae to solve complex trigonometric problems and prove identities.,"Apply, solve, prove",Paper 1 (angle formula applications),7 / 10,Students should be able to apply compound and double angle formulae to solve problems and prove identities.,formulas,Solving with Angle Formulas,"Strategy: Express complex angles as sums/differences Example: Find exact value of $\sin 15°$ $$\sin 15° = \sin(45° - 30°)$$ $$= \sin 45°\cos 30° - \cos 45°\sin 30°$$ $$= \frac{\sqrt{2}}{2} \cdot \frac{\sqrt{3}}{2} - \frac{\sqrt{2}}{2} \cdot \frac{1}{2} = \frac{\sqrt{6} - \sqrt{2}}{4}$$ Also: solve equations, prove identities"
253,AHL 3.11,AHL 3.11a,Trigonometric Symmetry,Understanding symmetry properties in trigonometric functions.,"Students learn about even and odd functions, understand symmetry properties of trigonometric functions, and apply these concepts to solve problems.","Understand, apply, solve",Paper 1 (trigonometric symmetry),7 / 10,Students should be able to understand and apply symmetry properties in trigonometric functions.,formulas,Trig Symmetry Properties,Even functions: $f(-x) = f(x)$ $$\cos(-x) = \cos x$$ $$\sec(-x) = \sec x$$ Odd functions: $f(-x) = -f(x)$ $$\sin(-x) = -\sin x$$ $$\tan(-x) = -\tan x$$ $$\csc(-x) = -\csc x$$ $$\cot(-x) = -\cot x$$
255,AHL 3.11,AHL 3.11b,Periodicity and Symmetry,Understanding the relationship between periodicity and symmetry in trigonometric functions.,"Students learn about periodic properties, understand how symmetry relates to periodicity, and analyze these relationships in trigonometric functions.","Understand, relate, analyze",Paper 1 (periodicity symmetry),7 / 10,Students should be able to understand the relationship between periodicity and symmetry in trigonometric functions.,formulas,Periodic and Symmetric Properties,"Periodicity: $$\sin(x + 2\pi) = \sin x, \quad \cos(x + 2\pi) = \cos x$$ $$\tan(x + \pi) = \tan x$$ Combined with symmetry: $$\sin(\pi - x) = \sin x$$ $$\cos(\pi - x) = -\cos x$$ $$\sin(\pi + x) = -\sin x$$ Related angles formulas"
257,AHL 3.11,AHL 3.11c,Applications of Trigonometric Symmetry,Applying symmetry properties to solve trigonometric problems.,"Students learn to use symmetry properties to simplify calculations, solve trigonometric equations, and prove identities.","Apply, simplify, solve",Paper 1 (symmetry applications),7 / 10,Students should be able to apply symmetry properties to solve trigonometric problems.,formulas,Using Symmetry to Simplify,"Integration application: $$\int_{-a}^{a} \text{odd function} = 0$$ Equation solving: Use symmetry to find all solutions Example: If $\sin x = 0.5$, then $x = \sin^{-1}(0.5)$ and by symmetry $x = \pi - \sin^{-1}(0.5)$ Identities: Replace $-x$ and apply even/odd properties"
259,AHL 3.12,AHL 3.12a,Vector Concepts,Understanding basic vector concepts and operations.,"Students learn about vectors, understand vector notation, magnitude, and direction, and work with basic vector operations.","Understand, work, apply",Paper 1 (vector concepts),6 / 10,Students should be able to understand basic vector concepts and perform vector operations.,formulas,Vector Basics,Vector notation: $\mathbf{v} = \begin{pmatrix} x \\ y \\ z \end{pmatrix}$ or $\mathbf{v} = x\mathbf{i} + y\mathbf{j} + z\mathbf{k}$ Magnitude: $$|\mathbf{v}| = \sqrt{x^2 + y^2 + z^2}$$ Unit vector: $$\hat{\mathbf{v}} = \frac{\mathbf{v}}{|\mathbf{v}|}$$ Position vector: from origin to point
261,AHL 3.12,AHL 3.12b,Vector Operations,"Understanding vector addition, subtraction, and scalar multiplication.","Students learn to add, subtract, and multiply vectors by scalars, understand the geometric interpretation of these operations.","Learn, understand, apply",Paper 1 (vector operations),6 / 10,Students should be able to perform vector operations and understand their geometric interpretation.,formulas,Vector Operations,"Addition: $$\mathbf{u} + \mathbf{v} = \begin{pmatrix} u_1 + v_1 \\ u_2 + v_2 \\ u_3 + v_3 \end{pmatrix}$$ (component-wise) Scalar multiplication: $$k\mathbf{v} = \begin{pmatrix} kv_1 \\ kv_2 \\ kv_3 \end{pmatrix}$$ Subtraction: $\mathbf{u} - \mathbf{v} = \mathbf{u} + (-\mathbf{v})$ Geometric: tip-to-tail (addition), scaling (scalar mult)"
263,AHL 3.12,AHL 3.12c,Vector Applications,Applying vectors to solve problems in geometry and physics.,"Students learn to apply vectors to solve problems involving displacement, velocity, forces, and other physical quantities.","Apply, solve, model",Paper 1 (vector applications),6 / 10,Students should be able to apply vectors to solve problems in geometry and physics.,formulas,Vector Application Formulas,Displacement: $\mathbf{s} = \mathbf{r}_2 - \mathbf{r}_1$ Velocity: $\mathbf{v} = \frac{\Delta \mathbf{r}}{\Delta t}$ Force combination: $\mathbf{F}_{net} = \mathbf{F}_1 + \mathbf{F}_2 + \cdots$ Distance: $|\mathbf{r}_2 - \mathbf{r}_1|$ Speed: $|\mathbf{v}|$
265,AHL 3.13,AHL 3.13a,Linear Systems,Understanding systems of linear equations and their solutions.,"Students learn about systems of linear equations, understand different types of solutions, and work with methods to solve them.","Understand, work, solve",Paper 1 (linear systems),6 / 10,Students should be able to understand and solve systems of linear equations.,formulas,Linear System Basics,"System of $m$ equations in $n$ unknowns: $$\begin{cases} a_{11}x_1 + a_{12}x_2 + \cdots + a_{1n}x_n = b_1 \\ a_{21}x_1 + a_{22}x_2 + \cdots + a_{2n}x_n = b_2 \\ \vdots \end{cases}$$ Solution types: unique, infinite, none Methods: substitution, elimination, matrix (Gaussian)"
267,AHL 3.13,AHL 3.13b,Matrix Methods,Understanding matrix methods for solving linear systems.,"Students learn to use matrices to solve linear systems, understand Gaussian elimination, and work with matrix operations.","Learn, understand, apply",Paper 1 (matrix methods),7 / 10,Students should be able to use matrix methods to solve linear systems.,formulas,Gaussian Elimination,Augmented matrix → RREF Elementary row operations: 1. Swap rows 2. Multiply row by nonzero constant 3. Add multiple of one row to another Goal: $$\left[\begin{array}{ccc|c} 1 & 0 & 0 & x \\ 0 & 1 & 0 & y \\ 0 & 0 & 1 & z \end{array}\right]$$ Read solution directly
269,AHL 3.13,AHL 3.13c,Applications of Linear Systems,Applying linear systems to solve real-world problems.,"Students learn to model real-world situations using linear systems, solve optimization problems, and understand practical applications.","Apply, model, solve",Paper 1 (linear system applications),7 / 10,Students should be able to apply linear systems to solve real-world problems.,formulas,Linear System Modeling,"Set up from context: 1. Define variables 2. Write equations from constraints 3. Solve system 4. Interpret solution Example: Mixture problem, cost optimization, traffic flow, chemical balance Applications: economics (supply/demand), engineering (circuits), operations research"
271,AHL 3.14,AHL 3.14a,Advanced Vector Operations,Understanding advanced vector operations including dot and cross products.,"Students learn about dot product, cross product, and their geometric interpretations, and apply these concepts to solve problems.","Learn, understand, apply",Paper 1 (advanced vector operations),7 / 10,Students should be able to understand and apply advanced vector operations.,formulas,Dot and Cross Products,Dot product (scalar): $$\mathbf{u} \cdot \mathbf{v} = u_1v_1 + u_2v_2 + u_3v_3 = |\mathbf{u}||\mathbf{v}|\cos\theta$$ Cross product (vector): $$\mathbf{u} \times \mathbf{v} = \begin{vmatrix} \mathbf{i} & \mathbf{j} & \mathbf{k} \\ u_1 & u_2 & u_3 \\ v_1 & v_2 & v_3 \end{vmatrix}$$ $|\mathbf{u} \times \mathbf{v}| = |\mathbf{u}||\mathbf{v}|\sin\theta$
273,AHL 3.14,AHL 3.14b,Vector Geometry,Understanding the geometric applications of vectors in three-dimensional space.,"Students learn to use vectors to solve geometric problems, understand vector equations of lines and planes, and work with spatial relationships.","Learn, understand, work",Paper 1 (vector geometry),7 / 10,Students should be able to use vectors to solve geometric problems in three-dimensional space.,formulas,Vector Equations in 3D,Line through point $\mathbf{a}$ in direction $\mathbf{d}$: $$\mathbf{r} = \mathbf{a} + t\mathbf{d}$$ Plane through point $\mathbf{a}$ with normal $\mathbf{n}$: $$(\mathbf{r} - \mathbf{a}) \cdot \mathbf{n} = 0$$ or $\mathbf{r} \cdot \mathbf{n} = k$ Distance from point to plane: $$d = \frac{|\mathbf{r}_0 \cdot \mathbf{n} - k|}{|\mathbf{n}|}$$
275,AHL 3.14,AHL 3.14c,Applications of Advanced Vectors,Applying advanced vector concepts to solve complex problems.,"Students learn to apply advanced vector concepts to solve problems in physics, engineering, and other fields requiring spatial analysis.","Apply, solve, analyze",Paper 1 (advanced vector applications),7 / 10,Students should be able to apply advanced vector concepts to solve complex problems.,formulas,Advanced Vector Applications,Work: $W = \mathbf{F} \cdot \mathbf{s}$ (dot product) Torque: $\boldsymbol{\tau} = \mathbf{r} \times \mathbf{F}$ (cross product) Projection of $\mathbf{u}$ onto $\mathbf{v}$: $$\text{proj}_\mathbf{v}\mathbf{u} = \frac{\mathbf{u} \cdot \mathbf{v}}{|\mathbf{v}|^2}\mathbf{v}$$ Area of triangle: $\frac{1}{2}|\mathbf{u} \times \mathbf{v}|$
277,AHL 3.15,AHL 3.15a,Advanced Linear Systems,Understanding advanced concepts in linear systems and their solutions.,"Students learn about consistent and inconsistent systems, dependent and independent systems, and advanced solution methods.","Understand, learn, apply",Paper 1 (advanced linear systems),7 / 10,Students should be able to understand and work with advanced linear systems.,formulas,System Classification,Consistent: at least one solution Inconsistent: no solution Dependent: infinite solutions Independent: unique solution Rank analysis: rank($A$) vs rank($[A|b]$) If rank($A$) = rank($[A|b]$) = $n$: unique If rank($A$) = rank($[A|b]$) < $n$: infinite If rank($A$) < rank($[A|b]$): inconsistent
279,AHL 3.15,AHL 3.15b,Matrix Algebra,Understanding matrix algebra and its applications to linear systems.,"Students learn about matrix operations, determinants, and their applications to solving linear systems and understanding system properties.","Learn, understand, apply",Paper 1 (matrix algebra),7 / 10,Students should be able to understand matrix algebra and its applications.,formulas,Matrix Operations,Addition: component-wise (same size) Multiplication: $$[AB]_{ij} = \sum_{k} A_{ik}B_{kj}$$ Determinant (2×2): $$\det\begin{pmatrix} a & b \\ c & d \end{pmatrix} = ad - bc$$ Inverse (2×2): $$A^{-1} = \frac{1}{\det A}\begin{pmatrix} d & -b \\ -c & a \end{pmatrix}$$
281,AHL 3.15,AHL 3.15c,Applications of Advanced Linear Systems,Applying advanced linear system concepts to solve complex problems.,"Students learn to model complex real-world situations using advanced linear systems, solve optimization problems, and understand practical applications.","Apply, model, solve",Paper 1 (advanced linear applications),7 / 10,Students should be able to apply advanced linear system concepts to solve complex problems.,formulas,Optimization with Constraints,Linear programming: Maximize/minimize: $c_1x_1 + c_2x_2 + \cdots$ Subject to: linear constraints Feasible region: intersection of constraint half-planes Solution: vertex of feasible region Matrix form: $\max \mathbf{c}^T\mathbf{x}$ subject to $A\mathbf{x} \leq \mathbf{b}$
283,AHL 3.16,AHL 3.16a,Vector Spaces,Understanding vector spaces and their properties.,"Students learn about vector spaces, subspaces, linear independence, and basis, and understand their fundamental properties and applications.","Learn, understand, apply",Paper 1 (vector spaces),7 / 10,Students should be able to understand vector spaces and their fundamental properties.,formulas,Vector Space Axioms,"Vector space: set with addition and scalar multiplication satisfying: 1. Closure under addition/scalar mult 2. Commutativity: $\mathbf{u} + \mathbf{v} = \mathbf{v} + \mathbf{u}$ 3. Associativity 4. Zero vector exists 5. Additive inverse exists Examples: $\mathbb{R}^n$, polynomials, functions Basis: linearly independent spanning set"
285,AHL 3.16,AHL 3.16b,Linear Transformations,Understanding linear transformations and their properties.,"Students learn about linear transformations, their matrix representations, and how they relate to vector spaces and linear systems.","Learn, understand, relate",Paper 1 (linear transformations),7 / 10,Students should be able to understand linear transformations and their properties.,formulas,Linear Transformation Definition,$T: V \to W$ is linear if: $$T(\mathbf{u} + \mathbf{v}) = T(\mathbf{u}) + T(\mathbf{v})$$ $$T(k\mathbf{v}) = kT(\mathbf{v})$$ Matrix representation: $T(\mathbf{x}) = A\mathbf{x}$ Kernel: $\ker(T) = \{\mathbf{v}: T(\mathbf{v}) = \mathbf{0}\}$ Image: $\text{Im}(T) = \{T(\mathbf{v}): \mathbf{v} \in V\}$
287,AHL 3.16,AHL 3.16c,Applications of Vector Spaces and Linear Transformations,Applying vector space and linear transformation concepts to solve problems.,"Students learn to apply vector space and linear transformation concepts to solve problems in mathematics, physics, and engineering.","Apply, solve, model",Paper 1 (vector space applications),7 / 10,Students should be able to apply vector space and linear transformation concepts to solve problems.,formulas,Transformation Applications,Rotation matrix (2D): $$R_\theta = \begin{pmatrix} \cos\theta & -\sin\theta \\ \sin\theta & \cos\theta \end{pmatrix}$$ Projection onto line: $$P = \frac{\mathbf{v}\mathbf{v}^T}{\mathbf{v}^T\mathbf{v}}$$ Eigenvalues/eigenvectors: $A\mathbf{v} = \lambda\mathbf{v}$ Special directions preserved by transformation
289,SL 4.1,SL 4.1a,Data Collection and Types,Understanding different types of data and data collection methods.,"Students learn about qualitative and quantitative data, discrete and continuous data, and various methods of data collection including surveys and experiments.","Understand, classify, collect",Paper 1 (data types),4 / 10,Students should be able to understand different types of data and data collection methods.,formulas,Data Classification,"Qualitative (categorical): colors, names, categories Quantitative (numerical): counts, measurements Discrete: countable values (0, 1, 2, ...) Continuous: any value in range Collection methods: survey, experiment, observation, census Sample vs population"
291,SL 4.1,SL 4.1b,Data Representation,Understanding how to represent data effectively using tables and graphs.,"Students learn to create frequency tables, histograms, bar charts, and other graphical representations of data, and interpret their meaning.","Create, interpret, analyze",Paper 1 (data representation),4 / 10,Students should be able to create and interpret various representations of data.,formulas,Data Display Types,Frequency table: value and count Bar chart: categorical data (discrete bars) Histogram: continuous data (connected bars) Pie chart: proportions of whole Box plot: five-number summary Scatter plot: relationship between two variables Choose based on data type and purpose
293,SL 4.1,SL 4.1c,Data Analysis and Interpretation,Understanding how to analyze and interpret data from various sources.,"Students learn to analyze data, identify patterns and trends, and draw meaningful conclusions from statistical information.","Analyze, identify, conclude",Paper 1 (data analysis),4 / 10,Students should be able to analyze and interpret data effectively.,formulas,Analysis Techniques,"Identify: trends (increasing/decreasing), patterns (cyclical), outliers (unusual values) Compare: groups, time periods Summarize: typical value, spread, shape Draw conclusions: supported by data Caution: correlation ≠ causation"
295,SL 4.2,SL 4.2a,Sampling Methods,Understanding different sampling methods and their applications.,"Students learn about random sampling, stratified sampling, systematic sampling, and cluster sampling, and understand their advantages and disadvantages.","Understand, compare, apply",Paper 1 (sampling methods),5 / 10,Students should be able to understand different sampling methods and their applications.,formulas,Sampling Method Types,"Simple random: every member equal probability Stratified: divide into groups, sample from each Systematic: every $k$th member Cluster: sample entire groups Convenience: easily accessible (often biased) Sample size formula (prop): $n = \frac{N}{1 + Ne^2}$"
297,SL 4.2,SL 4.2b,Sampling Bias and Errors,Understanding sampling bias and errors in data collection.,"Students learn about different types of bias, sampling errors, and how to minimize them in data collection and analysis.","Understand, identify, minimize",Paper 1 (sampling bias),5 / 10,Students should be able to understand and identify sampling bias and errors.,formulas,Types of Bias and Error,"Selection bias: sample not representative Response bias: answers influenced by question/interviewer Non-response bias: certain groups don't respond Sampling error: random variation (decreases with larger $n$) Non-sampling error: measurement, recording mistakes Systematic vs random errors"
299,SL 4.2,SL 4.2c,Sample Size and Reliability,Understanding the relationship between sample size and reliability of results.,"Students learn about the importance of sample size, confidence levels, and how sample size affects the reliability of statistical conclusions.","Understand, relate, evaluate",Paper 1 (sample size reliability),5 / 10,Students should be able to understand the relationship between sample size and reliability.,formulas,Sample Size Effects,Standard error: $$SE = \frac{\sigma}{\sqrt{n}}$$ Margin of error: $ME \propto \frac{1}{\sqrt{n}}$ Confidence interval width decreases with larger $n$ Reliability increases with $n$ but costs increase Rule: 4× sample for 2× precision
301,SL 4.3,SL 4.3a,Descriptive Statistics,Understanding descriptive statistics and their applications.,"Students learn about measures of central tendency (mean, median, mode) and measures of spread (range, standard deviation), and how to calculate and interpret them.","Learn, calculate, interpret",Paper 1 (descriptive statistics),5 / 10,Students should be able to calculate and interpret descriptive statistics.,formulas,Summary Statistics Overview,"Central tendency: mean, median, mode Spread: range, IQR, standard deviation Mean: $\bar{x} = \frac{\sum x_i}{n}$ Median: middle value Mode: most frequent value Standard deviation: $s = \sqrt{\frac{\sum(x_i - \bar{x})^2}{n-1}}$"
303,SL 4.3,SL 4.3b,Measures of Central Tendency,Understanding and calculating measures of central tendency.,"Students learn to calculate mean, median, and mode for different types of data, understand their properties, and choose appropriate measures for different situations.","Calculate, understand, choose",Paper 1 (central tendency),5 / 10,Students should be able to calculate and understand measures of central tendency.,formulas,Central Tendency Formulas,Mean: $$\bar{x} = \frac{x_1 + x_2 + \cdots + x_n}{n} = \frac{\sum x_i}{n}$$ Median: middle value when ordered (or average of two middle) Mode: most frequent value Weighted mean: $$\bar{x}_w = \frac{\sum w_i x_i}{\sum w_i}$$
305,SL 4.3,SL 4.3c,Measures of Spread,Understanding and calculating measures of spread and variability.,"Students learn to calculate range, interquartile range, standard deviation, and variance, and understand their significance in data analysis.","Calculate, understand, analyze",Paper 1 (measures of spread),5 / 10,Students should be able to calculate and understand measures of spread and variability.,formulas,Spread Measures,Range: $\max - \min$ IQR: $Q_3 - Q_1$ (middle 50%) Variance: $$s^2 = \frac{\sum(x_i - \bar{x})^2}{n-1}$$ Standard deviation: $$s = \sqrt{s^2}$$ (same units as data) Coefficient of variation: $\frac{s}{\bar{x}}$ (relative spread)
307,SL 4.4,SL 4.4a,Correlation and Scatter Plots,Understanding correlation and creating scatter plots.,"Students learn about correlation between variables, how to create and interpret scatter plots, and understand the relationship between correlation and causation.","Understand, create, interpret",Paper 1 (correlation scatter plots),5 / 10,Students should be able to understand correlation and create and interpret scatter plots.,formulas,Correlation Concepts,"Scatter plot: plot pairs $(x_i, y_i)$ Correlation: strength and direction of linear relationship Positive: both increase together Negative: one increases, other decreases None: no linear pattern Strong: points close to line Weak: points scattered"
309,SL 4.4,SL 4.4b,Linear Regression,Understanding linear regression and line of best fit.,"Students learn to find the line of best fit, understand the least squares method, and interpret the equation of the regression line.","Find, understand, interpret",Paper 1 (linear regression),5 / 10,Students should be able to find and interpret linear regression lines.,formulas,Regression Line Formula,"Line of best fit: $y = a + bx$ Slope: $$b = \frac{\sum(x_i - \bar{x})(y_i - \bar{y})}{\sum(x_i - \bar{x})^2}$$ Intercept: $$a = \bar{y} - b\bar{x}$$ Always passes through $(\bar{x}, \bar{y})$ GDC: regression feature computes automatically"
311,SL 4.4,SL 4.4c,Correlation Coefficient,Understanding and calculating the correlation coefficient.,"Students learn to calculate and interpret the correlation coefficient r, understand its range and meaning, and use it to assess the strength of linear relationships.","Calculate, interpret, assess",Paper 1 (correlation coefficient),5 / 10,Students should be able to calculate and interpret the correlation coefficient.,formulas,Correlation Coefficient,$$r = \frac{\sum(x_i - \bar{x})(y_i - \bar{y})}{\sqrt{\sum(x_i - \bar{x})^2 \sum(y_i - \bar{y})^2}}$$ Range: $-1 \leq r \leq 1$ $r = 1$: perfect positive $r = -1$: perfect negative $r = 0$: no linear correlation $|r|$ close to 1: strong; close to 0: weak
313,SL 4.5,SL 4.5a,Basic Probability Concepts,Understanding fundamental probability concepts and terminology.,"Students learn about sample spaces, events, outcomes, and basic probability rules, and understand how to calculate simple probabilities.","Understand, learn, calculate",Paper 1 (basic probability),4 / 10,Students should be able to understand basic probability concepts and calculate simple probabilities.,formulas,Probability Basics,"Sample space $S$: all possible outcomes Event $A$: subset of outcomes Probability: $$P(A) = \frac{\text{favorable outcomes}}{\text{total outcomes}}$$ Properties: $0 \leq P(A) \leq 1$, $P(S) = 1$, $P(\emptyset) = 0$ Complement: $P(A') = 1 - P(A)$"
315,SL 4.5,SL 4.5b,Probability Rules,Understanding and applying probability rules and properties.,"Students learn about the addition rule, multiplication rule, complement rule, and other fundamental probability properties, and apply them to solve problems.","Learn, understand, apply",Paper 1 (probability rules),5 / 10,Students should be able to understand and apply probability rules and properties.,formulas,Probability Rules,Addition rule (mutually exclusive): $$P(A \cup B) = P(A) + P(B)$$ General: $$P(A \cup B) = P(A) + P(B) - P(A \cap B)$$ Multiplication (independent): $$P(A \cap B) = P(A) \times P(B)$$ Complement: $$P(A') = 1 - P(A)$$
317,SL 4.5,SL 4.5c,Probability Applications,Applying probability concepts to solve real-world problems.,"Students learn to apply probability concepts to solve problems involving games, surveys, and other real-world situations.","Apply, solve, model",Paper 1 (probability applications),5 / 10,Students should be able to apply probability concepts to solve real-world problems.,formulas,Applied Probability Setup,"Identify: sample space, events Tree diagrams: multi-stage events Probability tables: organize outcomes Expected value: $E(X) = \sum x_i P(X = x_i)$ Fairness: game fair if $E(\text{winnings}) = 0$ Real applications: insurance, gambling, quality control"
